achomharc,appeal,achomharctha,achomharc,d'achomharc mé,ar achomharc mé,níor achomharc mé,d'achomharc tú,ar achomharc tú,níor achomharc tú,d'achomharc sé, sí,ar achomharc sé, sí,níor achomharc sé, sí,d'achomharcamar,ar achomharcamar,níor achomharcamar,d'achomharc sibh,ar achomharc sibh,níor achomharc sibh,d'achomharc siad,ar achomharc siad,níor achomharc siad,achomharcadar,ar achomharcadar,níor achomharcadar
cniog,rap,cniogtha,cniog,chniog mé,ar chniog mé,níor chniog mé,chniog tú,ar chniog tú,níor chniog tú,chniog sé, sí,ar chniog sé, sí,níor chniog sé, sí,chniogamar,ar chniogamar,níor chniogamar,chniog sibh,ar chniog sibh,níor chniog sibh,chniog siad,ar chniog siad,níor chniog siad,chniogadar,ar chniogadar,níor chniogadar
coc,cock,coctha,coc,choc mé,ar choc mé,níor choc mé,choc tú,ar choc tú,níor choc tú,choc sé, sí,ar choc sé, sí,níor choc sé, sí,chocamar,ar chocamar,níor chocamar,choc sibh,ar choc sibh,níor choc sibh,choc siad,ar choc siad,níor choc siad,chocadar,ar chocadar,níor chocadar
coimeád,keep,coimeádtha,coimeád,choimeád mé,ar choimeád mé,níor choimeád mé,choimeád tú,ar choimeád tú,níor choimeád tú,choimeád sé, sí,ar choimeád sé, sí,níor choimeád sé, sí,choimeádamar,ar choimeádamar,níor choimeádamar,choimeád sibh,ar choimeád sibh,níor choimeád sibh,choimeád siad,ar choimeád siad,níor choimeád siad,choimeádadar,ar choimeádadar,níor choimeádadar
coimhéad,guard,coimhéadtha,coimhéad,choimhéad mé,ar choimhéad mé,níor choimhéad mé,choimhéad tú,ar choimhéad tú,níor choimhéad tú,choimhéad sé, sí,ar choimhéad sé, sí,níor choimhéad sé, sí,choimhéadamar,ar choimhéadamar,níor choimhéadamar,choimhéad sibh,ar choimhéad sibh,níor choimhéad sibh,choimhéad siad,ar choimhéad siad,níor choimhéad siad,choimhéadadar,ar choimhéadadar,níor choimhéadadar
cóimheas,compare,cóimheastha,cóimheas,chóimheas mé,ar chóimheas mé,níor chóimheas mé,chóimheas tú,ar chóimheas tú,níor chóimheas tú,chóimheas sé, sí,ar chóimheas sé, sí,níor chóimheas sé, sí,chóimheasamar,ar chóimheasamar,níor chóimheasamar,chóimheas sibh,ar chóimheas sibh,níor chóimheas sibh,chóimheas siad,ar chóimheas siad,níor chóimheas siad,chóimheasadar,ar chóimheasadar,níor chóimheasadar
cóimheasc,coalesce,cóimheasctha,cóimheasc,chóimheasc mé,ar chóimheasc mé,níor chóimheasc mé,chóimheasc tú,ar chóimheasc tú,níor chóimheasc tú,chóimheasc sé, sí,ar chóimheasc sé, sí,níor chóimheasc sé, sí,chóimheascamar,ar chóimheascamar,níor chóimheascamar,chóimheasc sibh,ar chóimheasc sibh,níor chóimheasc sibh,chóimheasc siad,ar chóimheasc siad,níor chóimheasc siad,chóimheascadar,ar chóimheascadar,níor chóimheascadar
coimpléasc,complex,coimpléasctha,coimpléasc,choimpléasc mé,ar choimpléasc mé,níor choimpléasc mé,choimpléasc tú,ar choimpléasc tú,níor choimpléasc tú,choimpléasc sé, sí,ar choimpléasc sé, sí,níor choimpléasc sé, sí,choimpléascamar,ar choimpléascamar,níor choimpléascamar,choimpléasc sibh,ar choimpléasc sibh,níor choimpléasc sibh,choimpléasc siad,ar choimpléasc siad,níor choimpléasc siad,choimpléascadar,ar choimpléascadar,níor choimpléascadar
coincheap,conceive,coincheaptha,coincheap,choincheap mé,ar choincheap mé,níor choincheap mé,choincheap tú,ar choincheap tú,níor choincheap tú,choincheap sé, sí,ar choincheap sé, sí,níor choincheap sé, sí,choincheapamar,ar choincheapamar,níor choincheapamar,choincheap sibh,ar choincheap sibh,níor choincheap sibh,choincheap siad,ar choincheap siad,níor choincheap siad,choincheapadar,ar choincheapadar,níor choincheapadar
coinscríobh,conscript,coinscríobhtha,coinscríobh,choinscríobh mé,ar choinscríobh mé,níor choinscríobh mé,choinscríobh tú,ar choinscríobh tú,níor choinscríobh tú,choinscríobh sé, sí,ar choinscríobh sé, sí,níor choinscríobh sé, sí,choinscríobhamar,ar choinscríobhamar,níor choinscríobhamar,choinscríobh sibh,ar choinscríobh sibh,níor choinscríobh sibh,choinscríobh siad,ar choinscríobh siad,níor choinscríobh siad,choinscríobhadar,ar choinscríobhadar,níor choinscríobhadar
coirbéal,corbel,coirbéaltha,coirbéal,choirbéal mé,ar choirbéal mé,níor choirbéal mé,choirbéal tú,ar choirbéal tú,níor choirbéal tú,choirbéal sé, sí,ar choirbéal sé, sí,níor choirbéal sé, sí,choirbéalamar,ar choirbéalamar,níor choirbéalamar,choirbéal sibh,ar choirbéal sibh,níor choirbéal sibh,choirbéal siad,ar choirbéal siad,níor choirbéal siad,choirbéaladar,ar choirbéaladar,níor choirbéaladar
comhchlaon,converge,comhchlaontha,comhchlaon,chomhchlaon mé,ar chomhchlaon mé,níor chomhchlaon mé,chomhchlaon tú,ar chomhchlaon tú,níor chomhchlaon tú,chomhchlaon sé, sí,ar chomhchlaon sé, sí,níor chomhchlaon sé, sí,chomhchlaonamar,ar chomhchlaonamar,níor chomhchlaonamar,chomhchlaon sibh,ar chomhchlaon sibh,níor chomhchlaon sibh,chomhchlaon siad,ar chomhchlaon siad,níor chomhchlaon siad,chomhchlaonadar,ar chomhchlaonadar,níor chomhchlaonadar
comhdhéan,constitute,comhdhéantha,comhdhéan,chomhdhéan mé,ar chomhdhéan mé,níor chomhdhéan mé,chomhdhéan tú,ar chomhdhéan tú,níor chomhdhéan tú,chomhdhéan sé, sí,ar chomhdhéan sé, sí,níor chomhdhéan sé, sí,chomhdhéanamar,ar chomhdhéanamar,níor chomhdhéanamar,chomhdhéan sibh,ar chomhdhéan sibh,níor chomhdhéan sibh,chomhdhéan siad,ar chomhdhéan siad,níor chomhdhéan siad,chomhdhéanadar,ar chomhdhéanadar,níor chomhdhéanadar
comhghléas,tune in,comhghléastha,comhghléas,chomhghléas mé,ar chomhghléas mé,níor chomhghléas mé,chomhghléas tú,ar chomhghléas tú,níor chomhghléas tú,chomhghléas sé, sí,ar chomhghléas sé, sí,níor chomhghléas sé, sí,chomhghléasamar,ar chomhghléasamar,níor chomhghléasamar,chomhghléas sibh,ar chomhghléas sibh,níor chomhghléas sibh,chomhghléas siad,ar chomhghléas siad,níor chomhghléas siad,chomhghléasadar,ar chomhghléasadar,níor chomhghléasadar
comhlean,cohere,comhleantha,comhlean,chomhlean mé,ar chomhlean mé,níor chomhlean mé,chomhlean tú,ar chomhlean tú,níor chomhlean tú,chomhlean sé, sí,ar chomhlean sé, sí,níor chomhlean sé, sí,chomhleanamar,ar chomhleanamar,níor chomhleanamar,chomhlean sibh,ar chomhlean sibh,níor chomhlean sibh,chomhlean siad,ar chomhlean siad,níor chomhlean siad,chomhleanadar,ar chomhleanadar,níor chomhleanadar
comhlion,fulfill,comhliontha,comhlion,chomhlion mé,ar chomhlion mé,níor chomhlion mé,chomhlion tú,ar chomhlion tú,níor chomhlion tú,chomhlion sé, sí,ar chomhlion sé, sí,níor chomhlion sé, sí,chomhlionamar,ar chomhlionamar,níor chomhlionamar,chomhlion sibh,ar chomhlion sibh,níor chomhlion sibh,chomhlion siad,ar chomhlion siad,níor chomhlion siad,chomhlionadar,ar chomhlionadar,níor chomhlionadar
comhriar,communicate,comhriartha,comhriar,chomhriar mé,ar chomhriar mé,níor chomhriar mé,chomhriar tú,ar chomhriar tú,níor chomhriar tú,chomhriar sé, sí,ar chomhriar sé, sí,níor chomhriar sé, sí,chomhriaramar,ar chomhriaramar,níor chomhriaramar,chomhriar sibh,ar chomhriar sibh,níor chomhriar sibh,chomhriar siad,ar chomhriar siad,níor chomhriar siad,chomhriaradar,ar chomhriaradar,níor chomhriaradar
comhthóg,build up,comhthógtha,comhthóg,chomhthóg mé,ar chomhthóg mé,níor chomhthóg mé,chomhthóg tú,ar chomhthóg tú,níor chomhthóg tú,chomhthóg sé, sí,ar chomhthóg sé, sí,níor chomhthóg sé, sí,chomhthógamar,ar chomhthógamar,níor chomhthógamar,chomhthóg sibh,ar chomhthóg sibh,níor chomhthóg sibh,chomhthóg siad,ar chomhthóg siad,níor chomhthóg siad,chomhthógadar,ar chomhthógadar,níor chomhthógadar
comhthogh,co-opt,comhthoghtha,comhthogh,chomhthogh mé,ar chomhthogh mé,níor chomhthogh mé,chomhthogh tú,ar chomhthogh tú,níor chomhthogh tú,chomhthogh sé, sí,ar chomhthogh sé, sí,níor chomhthogh sé, sí,chomhthoghamar,ar chomhthoghamar,níor chomhthoghamar,chomhthogh sibh,ar chomhthogh sibh,níor chomhthogh sibh,chomhthogh siad,ar chomhthogh siad,níor chomhthogh siad,chomhthoghadar,ar chomhthoghadar,níor chomhthoghadar
conducht,conduct,conduchttha,conducht,chonducht mé,ar chonducht mé,níor chonducht mé,chonducht tú,ar chonducht tú,níor chonducht tú,chonducht sé, sí,ar chonducht sé, sí,níor chonducht sé, sí,chonduchtamar,ar chonduchtamar,níor chonduchtamar,chonducht sibh,ar chonducht sibh,níor chonducht sibh,chonducht siad,ar chonducht siad,níor chonducht siad,chonduchtadar,ar chonduchtadar,níor chonduchtadar
cor,tum,cortha,cor,chor mé,ar chor mé,níor chor mé,chor tú,ar chor tú,níor chor tú,chor sé, sí,ar chor sé, sí,níor chor sé, sí,choramar,ar choramar,níor choramar,chor sibh,ar chor sibh,níor chor sibh,chor siad,ar chor siad,níor chor siad,choradar,ar choradar,níor choradar
corb,corrupt,corbtha,corb,chorb mé,ar chorb mé,níor chorb mé,chorb tú,ar chorb tú,níor chorb tú,chorb sé, sí,ar chorb sé, sí,níor chorb sé, sí,chorbamar,ar chorbamar,níor chorbamar,chorb sibh,ar chorb sibh,níor chorb sibh,chorb siad,ar chorb siad,níor chorb siad,chorbadar,ar chorbadar,níor chorbadar
com,roU,comtha,com,chom mé,ar chom mé,níor chom mé,chom tú,ar chom tú,níor chom tú,chom sé, sí,ar chom sé, sí,níor chom sé, sí,chomamar,ar chomamar,níor chomamar,chom sibh,ar chom sibh,níor chom sibh,chom siad,ar chom siad,níor chom siad,chomadar,ar chomadar,níor chomadar
crág,chelate,crágtha,crág,chrág mé,ar chrág mé,níor chrág mé,chrág tú,ar chrág tú,níor chrág tú,chrág sé, sí,ar chrág sé, sí,níor chrág sé, sí,chrágamar,ar chrágamar,níor chrágamar,chrág sibh,ar chrág sibh,níor chrág sibh,chrág siad,ar chrág siad,níor chrág siad,chrágadar,ar chrágadar,níor chrágadar
craobhieath,layer,craobhieaththa,craobhieath,chraobhieath mé,ar chraobhieath mé,níor chraobhieath mé,chraobhieath tú,ar chraobhieath tú,níor chraobhieath tú,chraobhieath sé, sí,ar chraobhieath sé, sí,níor chraobhieath sé, sí,chraobhieathamar,ar chraobhieathamar,níor chraobhieathamar,chraobhieath sibh,ar chraobhieath sibh,níor chraobhieath sibh,chraobhieath siad,ar chraobhieath siad,níor chraobhieath siad,chraobhieathadar,ar chraobhieathadar,níor chraobhieathadar
craol,announce,craoltha,craol,chraol mé,ar chraol mé,níor chraol mé,chraol tú,ar chraol tú,níor chraol tú,chraol sé, sí,ar chraol sé, sí,níor chraol sé, sí,chraolamar,ar chraolamar,níor chraolamar,chraol sibh,ar chraol sibh,níor chraol sibh,chraol siad,ar chraol siad,níor chraol siad,chraoladar,ar chraoladar,níor chraoladar
craosfholc,gargle,craosfholctha,craosfholc,chraosfholc mé,ar chraosfholc mé,níor chraosfholc mé,chraosfholc tú,ar chraosfholc tú,níor chraosfholc tú,chraosfholc sé, sí,ar chraosfholc sé, sí,níor chraosfholc sé, sí,chraosfholcamar,ar chraosfholcamar,níor chraosfholcamar,chraosfholc sibh,ar chraosfholc sibh,níor chraosfholc sibh,chraosfholc siad,ar chraosfholc siad,níor chraosfholc siad,chraosfholcadar,ar chraosfholcadar,níor chraosfholcadar
crap,contract,craptha,crap,chrap mé,ar chrap mé,níor chrap mé,chrap tú,ar chrap tú,níor chrap tú,chrap sé, sí,ar chrap sé, sí,níor chrap sé, sí,chrapamar,ar chrapamar,níor chrapamar,chrap sibh,ar chrap sibh,níor chrap sibh,chrap siad,ar chrap siad,níor chrap siad,chrapadar,ar chrapadar,níor chrapadar
creach,raid,creachtha,creach,chreach mé,ar chreach mé,níor chreach mé,chreach tú,ar chreach tú,níor chreach tú,chreach sé, sí,ar chreach sé, sí,níor chreach sé, sí,chreachamar,ar chreachamar,níor chreachamar,chreach sibh,ar chreach sibh,níor chreach sibh,chreach siad,ar chreach siad,níor chreach siad,chreachadar,ar chreachadar,níor chreachadar
créam,cremate,créamtha,créam,chréam mé,ar chréam mé,níor chréam mé,chréam tú,ar chréam tú,níor chréam tú,chréam sé, sí,ar chréam sé, sí,níor chréam sé, sí,chréamamar,ar chréamamar,níor chréamamar,chréam sibh,ar chréam sibh,níor chréam sibh,chréam siad,ar chréam siad,níor chréam siad,chréamadar,ar chréamadar,níor chréamadar
crean,obtain,creantha,crean,chrean mé,ar chrean mé,níor chrean mé,chrean tú,ar chrean tú,níor chrean tú,chrean sé, sí,ar chrean sé, sí,níor chrean sé, sí,chreanamar,ar chreanamar,níor chreanamar,chrean sibh,ar chrean sibh,níor chrean sibh,chrean siad,ar chrean siad,níor chrean siad,chreanadar,ar chreanadar,níor chreanadar
creath,tremble,creaththa,creath,chreath mé,ar chreath mé,níor chreath mé,chreath tú,ar chreath tú,níor chreath tú,chreath sé, sí,ar chreath sé, sí,níor chreath sé, sí,chreathamar,ar chreathamar,níor chreathamar,chreath sibh,ar chreath sibh,níor chreath sibh,chreath siad,ar chreath siad,níor chreath siad,chreathadar,ar chreathadar,níor chreathadar
críon,wither,críontha,críon,chríon mé,ar chríon mé,níor chríon mé,chríon tú,ar chríon tú,níor chríon tú,chríon sé, sí,ar chríon sé, sí,níor chríon sé, sí,chríonamar,ar chríonamar,níor chríonamar,chríon sibh,ar chríon sibh,níor chríon sibh,chríon siad,ar chríon siad,níor chríon siad,chríonadar,ar chríonadar,níor chríonadar
croch,hang,crochtha,croch,chroch mé,ar chroch mé,níor chroch mé,chroch tú,ar chroch tú,níor chroch tú,chroch sé, sí,ar chroch sé, sí,níor chroch sé, sí,chrochamar,ar chrochamar,níor chrochamar,chroch sibh,ar chroch sibh,níor chroch sibh,chroch siad,ar chroch siad,níor chroch siad,chrochadar,ar chrochadar,níor chrochadar
crom,bend,cromtha,crom,chrom mé,ar chrom mé,níor chrom mé,chrom tú,ar chrom tú,níor chrom tú,chrom sé, sí,ar chrom sé, sí,níor chrom sé, sí,chromamar,ar chromamar,níor chromamar,chrom sibh,ar chrom sibh,níor chrom sibh,chrom siad,ar chrom siad,níor chrom siad,chromadar,ar chromadar,níor chromadar
cros,cross,crostha,cros,chros mé,ar chros mé,níor chros mé,chros tú,ar chros tú,níor chros tú,chros sé, sí,ar chros sé, sí,níor chros sé, sí,chrosamar,ar chrosamar,níor chrosamar,chros sibh,ar chros sibh,níor chros sibh,chros siad,ar chros siad,níor chros siad,chrosadar,ar chrosadar,níor chrosadar
crosghrean,crosshatch,crosghreantha,crosghrean,chrosghrean mé,ar chrosghrean mé,níor chrosghrean mé,chrosghrean tú,ar chrosghrean tú,níor chrosghrean tú,chrosghrean sé, sí,ar chrosghrean sé, sí,níor chrosghrean sé, sí,chrosghreanamar,ar chrosghreanamar,níor chrosghreanamar,chrosghrean sibh,ar chrosghrean sibh,níor chrosghrean sibh,chrosghrean siad,ar chrosghrean siad,níor chrosghrean siad,chrosghreanadar,ar chrosghreanadar,níor chrosghreanadar
crostreabh,cross-plow,crostreabhtha,crostreabh,chrostreabh mé,ar chrostreabh mé,níor chrostreabh mé,chrostreabh tú,ar chrostreabh tú,níor chrostreabh tú,chrostreabh sé, sí,ar chrostreabh sé, sí,níor chrostreabh sé, sí,chrostreabhamar,ar chrostreabhamar,níor chrostreabhamar,chrostreabh sibh,ar chrostreabh sibh,níor chrostreabh sibh,chrostreabh siad,ar chrostreabh siad,níor chrostreabh siad,chrostreabhadar,ar chrostreabhadar,níor chrostreabhadar
cruach,stack,cruachtha,cruach,chruach mé,ar chruach mé,níor chruach mé,chruach tú,ar chruach tú,níor chruach tú,chruach sé, sí,ar chruach sé, sí,níor chruach sé, sí,chruachamar,ar chruachamar,níor chruachamar,chruach sibh,ar chruach sibh,níor chruach sibh,chruach siad,ar chruach siad,níor chruach siad,chruachadar,ar chruachadar,níor chruachadar
cruan,enamel,cruantha,cruan,chruan mé,ar chruan mé,níor chruan mé,chruan tú,ar chruan tú,níor chruan tú,chruan sé, sí,ar chruan sé, sí,níor chruan sé, sí,chruanamar,ar chruanamar,níor chruanamar,chruan sibh,ar chruan sibh,níor chruan sibh,chruan siad,ar chruan siad,níor chruan siad,chruanadar,ar chruanadar,níor chruanadar
cuach,bundle,cuachtha,cuach,chuach mé,ar chuach mé,níor chuach mé,chuach tú,ar chuach tú,níor chuach tú,chuach sé, sí,ar chuach sé, sí,níor chuach sé, sí,chuachamar,ar chuachamar,níor chuachamar,chuach sibh,ar chuach sibh,níor chuach sibh,chuach siad,ar chuach siad,níor chuach siad,chuachadar,ar chuachadar,níor chuachadar
cuar,curve,cuartha,cuar,chuar mé,ar chuar mé,níor chuar mé,chuar tú,ar chuar tú,níor chuar tú,chuar sé, sí,ar chuar sé, sí,níor chuar sé, sí,chuaramar,ar chuaramar,níor chuaramar,chuar sibh,ar chuar sibh,níor chuar sibh,chuar siad,ar chuar siad,níor chuar siad,chuaradar,ar chuaradar,níor chuaradar
cúb,bend,cúbtha,cúb,chúb mé,ar chúb mé,níor chúb mé,chúb tú,ar chúb tú,níor chúb tú,chúb sé, sí,ar chúb sé, sí,níor chúb sé, sí,chúbamar,ar chúbamar,níor chúbamar,chúb sibh,ar chúb sibh,níor chúb sibh,chúb siad,ar chúb siad,níor chúb siad,chúbadar,ar chúbadar,níor chúbadar
cúiréad,curette,cúiréadtha,cúiréad,chúiréad mé,ar chúiréad mé,níor chúiréad mé,chúiréad tú,ar chúiréad tú,níor chúiréad tú,chúiréad sé, sí,ar chúiréad sé, sí,níor chúiréad sé, sí,chúiréadamar,ar chúiréadamar,níor chúiréadamar,chúiréad sibh,ar chúiréad sibh,níor chúiréad sibh,chúiréad siad,ar chúiréad siad,níor chúiréad siad,chúiréadadar,ar chúiréadadar,níor chúiréadadar
cúlcham,stockpile,cúlchamtha,cúlcham,chúlcham mé,ar chúlcham mé,níor chúlcham mé,chúlcham tú,ar chúlcham tú,níor chúlcham tú,chúlcham sé, sí,ar chúlcham sé, sí,níor chúlcham sé, sí,chúlchamamar,ar chúlchamamar,níor chúlchamamar,chúlcham sibh,ar chúlcham sibh,níor chúlcham sibh,chúlcham siad,ar chúlcham siad,níor chúlcham siad,chúlchamadar,ar chúlchamadar,níor chúlchamadar
cúlchas,rewind,cúlchastha,cúlchas,chúlchas mé,ar chúlchas mé,níor chúlchas mé,chúlchas tú,ar chúlchas tú,níor chúlchas tú,chúlchas sé, sí,ar chúlchas sé, sí,níor chúlchas sé, sí,chúlchasamar,ar chúlchasamar,níor chúlchasamar,chúlchas sibh,ar chúlchas sibh,níor chúlchas sibh,chúlchas siad,ar chúlchas siad,níor chúlchas siad,chúlchasadar,ar chúlchasadar,níor chúlchasadar
cúlghearr,backbite,cúlghearrtha,cúlghearr,chúlghearr mé,ar chúlghearr mé,níor chúlghearr mé,chúlghearr tú,ar chúlghearr tú,níor chúlghearr tú,chúlghearr sé, sí,ar chúlghearr sé, sí,níor chúlghearr sé, sí,chúlghearramar,ar chúlghearramar,níor chúlghearramar,chúlghearr sibh,ar chúlghearr sibh,níor chúlghearr sibh,chúlghearr siad,ar chúlghearr siad,níor chúlghearr siad,chúlghearradar,ar chúlghearradar,níor chúlghearradar
cúlghlan,back out,cúlghlantha,cúlghlan,chúlghlan mé,ar chúlghlan mé,níor chúlghlan mé,chúlghlan tú,ar chúlghlan tú,níor chúlghlan tú,chúlghlan sé, sí,ar chúlghlan sé, sí,níor chúlghlan sé, sí,chúlghlanamar,ar chúlghlanamar,níor chúlghlanamar,chúlghlan sibh,ar chúlghlan sibh,níor chúlghlan sibh,chúlghlan siad,ar chúlghlan siad,níor chúlghlan siad,chúlghlanadar,ar chúlghlanadar,níor chúlghlanadar
cúlsmiot,backchip,cúlsmiottha,cúlsmiot,chúlsmiot mé,ar chúlsmiot mé,níor chúlsmiot mé,chúlsmiot tú,ar chúlsmiot tú,níor chúlsmiot tú,chúlsmiot sé, sí,ar chúlsmiot sé, sí,níor chúlsmiot sé, sí,chúlsmiotamar,ar chúlsmiotamar,níor chúlsmiotamar,chúlsmiot sibh,ar chúlsmiot sibh,níor chúlsmiot sibh,chúlsmiot siad,ar chúlsmiot siad,níor chúlsmiot siad,chúlsmiotadar,ar chúlsmiotadar,níor chúlsmiotadar
cúltort,backfire,cúltorttha,cúltort,chúltort mé,ar chúltort mé,níor chúltort mé,chúltort tú,ar chúltort tú,níor chúltort tú,chúltort sé, sí,ar chúltort sé, sí,níor chúltort sé, sí,chúltortamar,ar chúltortamar,níor chúltortamar,chúltort sibh,ar chúltort sibh,níor chúltort sibh,chúltort siad,ar chúltort siad,níor chúltort siad,chúltortadar,ar chúltortadar,níor chúltortadar
cum,form,cumtha,cum,chum mé,ar chum mé,níor chum mé,chum tú,ar chum tú,níor chum tú,chum sé, sí,ar chum sé, sí,níor chum sé, sí,chumamar,ar chumamar,níor chumamar,chum sibh,ar chum sibh,níor chum sibh,chum siad,ar chum siad,níor chum siad,chumadar,ar chumadar,níor chumadar
cúr,chastise,cúrtha,cúr,chúr mé,ar chúr mé,níor chúr mé,chúr tú,ar chúr tú,níor chúr tú,chúr sé, sí,ar chúr sé, sí,níor chúr sé, sí,chúramar,ar chúramar,níor chúramar,chúr sibh,ar chúr sibh,níor chúr sibh,chúr siad,ar chúr siad,níor chúr siad,chúradar,ar chúradar,níor chúradar
dall,blind,dalltha,dall,dhall mé,ar dhall mé,níor dhall mé,dhall tú,ar dhall tú,níor dhall tú,dhall sé, sí,ar dhall sé, sí,níor dhall sé, sí,dhallamar,ar dhallamar,níor dhallamar,dhall sibh,ar dhall sibh,níor dhall sibh,dhall siad,ar dhall siad,níor dhall siad,dhalladar,ar dhalladar,níor dhalladar
daUscriobh,blind-write,daUscriobhtha,daUscriobh,dhaUscriobh mé,ar dhaUscriobh mé,níor dhaUscriobh mé,dhaUscriobh tú,ar dhaUscriobh tú,níor dhaUscriobh tú,dhaUscriobh sé, sí,ar dhaUscriobh sé, sí,níor dhaUscriobh sé, sí,dhaUscriobhamar,ar dhaUscriobhamar,níor dhaUscriobhamar,dhaUscriobh sibh,ar dhaUscriobh sibh,níor dhaUscriobh sibh,dhaUscriobh siad,ar dhaUscriobh siad,níor dhaUscriobh siad,dhaUscriobhadar,ar dhaUscriobhadar,níor dhaUscriobhadar
dámh,concede,dámhtha,dámh,dhámh mé,ar dhámh mé,níor dhámh mé,dhámh tú,ar dhámh tú,níor dhámh tú,dhámh sé, sí,ar dhámh sé, sí,níor dhámh sé, sí,dhámhamar,ar dhámhamar,níor dhámhamar,dhámh sibh,ar dhámh sibh,níor dhámh sibh,dhámh siad,ar dhámh siad,níor dhámh siad,dhámhadar,ar dhámhadar,níor dhámhadar
daor,enslave,daortha,daor,dhaor mé,ar dhaor mé,níor dhaor mé,dhaor tú,ar dhaor tú,níor dhaor tú,dhaor sé, sí,ar dhaor sé, sí,níor dhaor sé, sí,dhaoramar,ar dhaoramar,níor dhaoramar,dhaor sibh,ar dhaor sibh,níor dhaor sibh,dhaor siad,ar dhaor siad,níor dhaor siad,dhaoradar,ar dhaoradar,níor dhaoradar
daorbhasc,maul severely,daorbhasctha,daorbhasc,dhaorbhasc mé,ar dhaorbhasc mé,níor dhaorbhasc mé,dhaorbhasc tú,ar dhaorbhasc tú,níor dhaorbhasc tú,dhaorbhasc sé, sí,ar dhaorbhasc sé, sí,níor dhaorbhasc sé, sí,dhaorbhascamar,ar dhaorbhascamar,níor dhaorbhascamar,dhaorbhasc sibh,ar dhaorbhasc sibh,níor dhaorbhasc sibh,dhaorbhasc siad,ar dhaorbhasc siad,níor dhaorbhasc siad,dhaorbhascadar,ar dhaorbhascadar,níor dhaorbhascadar
dath,aUocate,daththa,dath,dhath mé,ar dhath mé,níor dhath mé,dhath tú,ar dhath tú,níor dhath tú,dhath sé, sí,ar dhath sé, sí,níor dhath sé, sí,dhathamar,ar dhathamar,níor dhathamar,dhath sibh,ar dhath sibh,níor dhath sibh,dhath siad,ar dhath siad,níor dhath siad,dhathadar,ar dhathadar,níor dhathadar
dea-mheas,approve,dea-mheastha,dea-mheas,dhea-mheas mé,ar dhea-mheas mé,níor dhea-mheas mé,dhea-mheas tú,ar dhea-mheas tú,níor dhea-mheas tú,dhea-mheas sé, sí,ar dhea-mheas sé, sí,níor dhea-mheas sé, sí,dhea-mheasamar,ar dhea-mheasamar,níor dhea-mheasamar,dhea-mheas sibh,ar dhea-mheas sibh,níor dhea-mheas sibh,dhea-mheas siad,ar dhea-mheas siad,níor dhea-mheas siad,dhea-mheasadar,ar dhea-mheasadar,níor dhea-mheasadar
deann,color,deanntha,deann,dheann mé,ar dheann mé,níor dheann mé,dheann tú,ar dheann tú,níor dheann tú,dheann sé, sí,ar dheann sé, sí,níor dheann sé, sí,dheannamar,ar dheannamar,níor dheannamar,dheann sibh,ar dheann sibh,níor dheann sibh,dheann siad,ar dheann siad,níor dheann siad,dheannadar,ar dheannadar,níor dheannadar
dear,draw,deartha,dear,dhear mé,ar dhear mé,níor dhear mé,dhear tú,ar dhear tú,níor dhear tú,dhear sé, sí,ar dhear sé, sí,níor dhear sé, sí,dhearamar,ar dhearamar,níor dhearamar,dhear sibh,ar dhear sibh,níor dhear sibh,dhear siad,ar dhear siad,níor dhear siad,dhearadar,ar dhearadar,níor dhearadar
dearbhasc,affirm,dearbhasctha,dearbhasc,dhearbhasc mé,ar dhearbhasc mé,níor dhearbhasc mé,dhearbhasc tú,ar dhearbhasc tú,níor dhearbhasc tú,dhearbhasc sé, sí,ar dhearbhasc sé, sí,níor dhearbhasc sé, sí,dhearbhascamar,ar dhearbhascamar,níor dhearbhascamar,dhearbhasc sibh,ar dhearbhasc sibh,níor dhearbhasc sibh,dhearbhasc siad,ar dhearbhasc siad,níor dhearbhasc siad,dhearbhascadar,ar dhearbhascadar,níor dhearbhascadar
dearc,look,dearctha,dearc,dhearc mé,ar dhearc mé,níor dhearc mé,dhearc tú,ar dhearc tú,níor dhearc tú,dhearc sé, sí,ar dhearc sé, sí,níor dhearc sé, sí,dhearcamar,ar dhearcamar,níor dhearcamar,dhearc sibh,ar dhearc sibh,níor dhearc sibh,dhearc siad,ar dhearc siad,níor dhearc siad,dhearcadar,ar dhearcadar,níor dhearcadar
dearg,redden,deargtha,dearg,dhearg mé,ar dhearg mé,níor dhearg mé,dhearg tú,ar dhearg tú,níor dhearg tú,dhearg sé, sí,ar dhearg sé, sí,níor dhearg sé, sí,dheargamar,ar dheargamar,níor dheargamar,dhearg sibh,ar dhearg sibh,níor dhearg sibh,dhearg siad,ar dhearg siad,níor dhearg siad,dheargadar,ar dheargadar,níor dheargadar
dearmad,forget,dearmadtha,dearmad,dhearmad mé,ar dhearmad mé,níor dhearmad mé,dhearmad tú,ar dhearmad tú,níor dhearmad tú,dhearmad sé, sí,ar dhearmad sé, sí,níor dhearmad sé, sí,dhearmadamar,ar dhearmadamar,níor dhearmadamar,dhearmad sibh,ar dhearmad sibh,níor dhearmad sibh,dhearmad siad,ar dhearmad siad,níor dhearmad siad,dhearmadadar,ar dhearmadadar,níor dhearmadadar
